label,n_instances,n_images,median_box_px
other-sign,118782,31280,45.4
regulatory--yield--g1,2428,1981,47.2
information--pedestrians-crossing--g1,1913,1224,59.8
regulatory--no-entry--g1,1793,1453,41.6
complementary--chevron-left--g1,1570,630,32.1
complementary--chevron-right--g1,1544,636,30.6
information--parking--g1,1401,1067,36.9
regulatory--stop--g1,1212,1043,57.1
regulatory--keep-right--g1,1085,950,42.1
regulatory--no-stopping--g15,1082,939,59.4
regulatory--priority-road--g4,1049,950,41.7
regulatory--no-parking--g1,1039,905,55.0
warning--pedestrians-crossing--g4,985,765,64.2
regulatory--maximum-speed-limit-40--g1,888,800,52.5
regulatory--maximum-speed-limit-30--g1,680,612,53.6
regulatory--maximum-speed-limit-50--g1,615,557,46.9
regulatory--maximum-speed-limit-60--g1,595,508,48.4
regulatory--no-parking--g2,524,439,41.0
regulatory--keep-right--g4,519,452,38.2
regulatory--no-parking--g5,513,396,41.1
warning--curve-left--g2,500,473,58.1
warning--road-bump--g2,479,399,63.0
regulatory--one-way-straight--g1,465,379,43.7
regulatory--go-straight--g1,423,359,37.3
regulatory--no-left-turn--g1,416,369,50.6
warning--curve-right--g2,408,388,61.4
regulatory--no-u-turn--g1,407,371,45.9
regulatory--height-limit--g1,403,319,59.0
regulatory--keep-left--g1,403,340,39.9
complementary--obstacle-delineator--g2,391,340,49.5
regulatory--maximum-speed-limit-80--g1,390,323,51.1
regulatory--no-heavy-goods-vehicles--g2,384,349,53.3
warning--road-bump--g1,373,346,60.6
warning--other-danger--g1,366,318,63.9
regulatory--roundabout--g1,354,298,52.6
complementary--go-right--g1,334,301,47.1
regulatory--no-overtaking--g5,332,309,52.4
warning--children--g2,326,304,70.2
regulatory--one-way-left--g1,322,299,49.0
regulatory--no-heavy-goods-vehicles--g1,315,283,59.0
complementary--go-left--g1,312,275,45.7
complementary--keep-left--g1,306,275,45.7
regulatory--maximum-speed-limit-70--g1,303,253,45.3
regulatory--one-way-left--g3,302,238,57.8
warning--roadworks--g1,300,272,77.4
regulatory--no-right-turn--g1,297,273,46.2
regulatory--no-stopping--g2,295,230,44.8
regulatory--one-way-right--g3,283,222,57.2
regulatory--no-heavy-goods-vehicles--g4,279,243,67.9
complementary--distance--g3,277,247,88.5
complementary--chevron-right--g5,277,136,42.4
regulatory--turn-right--g1,275,242,50.2
regulatory--pass-on-either-side--g1,267,236,50.1
complementary--chevron-left--g2,266,137,35.7
warning--pedestrians-crossing--g1,266,252,69.3
information--tram-bus-stop--g2,265,240,63.9
complementary--chevron-left--g5,263,125,40.3
warning--texts--g2,260,238,100.0
regulatory--bicycles-only--g1,258,233,53.8
warning--junction-with-a-side-road-perpendicular-right--g1,248,239,48.2
regulatory--no-overtaking--g1,243,200,54.2
regulatory--one-way-right--g1,241,227,52.7
warning--curve-right--g1,241,232,56.6
regulatory--maximum-speed-limit-90--g1,241,186,51.7
information--motorway--g1,239,189,49.0
regulatory--road-closed-to-vehicles--g3,236,214,50.0
complementary--chevron-left--g3,232,153,56.7
warning--slippery-road-surface--g1,228,202,79.7
complementary--distance--g2,228,211,85.9
warning--school-zone--g2,226,198,65.2
warning--children--g1,225,215,70.1
warning--traffic-merges-right--g1,222,216,52.7
complementary--chevron-right--g3,220,152,53.8
information--parking--g3,217,149,36.4
warning--traffic-signals--g3,217,181,61.4
information--disabled-persons--g1,214,179,35.1
warning--curve-left--g1,214,205,49.5
regulatory--shared-path-pedestrians-and-bicycles--g1,211,197,59.8
warning--slippery-road-surface--g2,210,192,70.1
regulatory--maximum-speed-limit-20--g1,210,191,54.7
regulatory--turn-left--g2,209,170,47.2
complementary--chevron-right-unsure--g6,207,116,28.9
regulatory--no-overtaking--g2,197,196,58.1
regulatory--weight-limit--g1,194,183,66.6
regulatory--maximum-speed-limit-25--g2,186,179,53.4
warning--turn-right--g1,186,177,51.3
regulatory--turn-right-ahead--g1,180,165,46.5
regulatory--no-pedestrians--g2,180,162,49.6
warning--traffic-signals--g1,179,161,85.0
complementary--obstacle-delineator--g1,174,157,60.1
regulatory--maximum-speed-limit-100--g1,169,134,50.1
warning--railroad-crossing-without-barriers--g3,168,140,61.7
warning--pedestrians-crossing--g5,167,150,65.0
warning--height-restriction--g2,166,149,67.0
warning--narrow-bridge--g1,165,156,61.7
information--parking--g5,164,155,55.1
warning--crossroads--g1,162,154,63.4
complementary--distance--g1,160,141,65.7
warning--junction-with-a-side-road-perpendicular-right--g3,158,155,51.6
regulatory--pedestrians-only--g1,156,145,55.7
complementary--turn-left--g2,154,138,40.1
regulatory--no-stopping--g5,152,132,42.5
warning--crossroads--g3,152,143,47.6
warning--texts--g3,149,141,76.0
complementary--extent-of-prohibition-area-both-direction--g1,148,139,53.8
regulatory--turn-left--g1,148,136,60.3
warning--stop-ahead--g9,148,134,44.8
warning--texts--g1,146,140,72.4
information--hospital--g1,144,141,40.9
regulatory--maximum-speed-limit-35--g2,140,137,47.2
regulatory--go-straight-or-turn-left--g1,139,131,46.0
warning--railroad-crossing-without-barriers--g4,136,127,61.6
warning--winding-road-first-left--g1,136,135,60.0
warning--roundabout--g1,132,123,72.8
warning--junction-with-a-side-road-perpendicular-left--g3,131,126,51.4
regulatory--one-way-left--g2,129,117,58.6
information--dead-end--g1,128,124,62.4
complementary--tow-away-zone--g1,128,112,66.8
regulatory--maximum-speed-limit-55--g2,126,104,49.1
warning--double-curve-first-right--g1,125,123,68.1
warning--junction-with-a-side-road-perpendicular-left--g1,123,121,62.8
information--end-of-motorway--g1,122,102,55.6
regulatory--go-straight-or-turn-right--g1,122,111,52.5
complementary--maximum-speed-limit-45--g1,121,117,55.0
warning--pass-left-or-right--g2,120,113,56.7
warning--winding-road-first-right--g1,119,117,64.2
warning--trucks-crossing--g1,117,108,74.2
regulatory--keep-left--g2,116,111,69.6
warning--road-narrows-right--g2,115,105,43.8
warning--traffic-merges-right--g2,115,109,55.8
regulatory--turn-right--g3,113,101,56.4
complementary--maximum-speed-limit-30--g1,113,108,47.7
regulatory--no-u-turn--g3,112,108,54.1
regulatory--no-motor-vehicles-except-motorcycles--g2,112,103,48.3
complementary--maximum-speed-limit-35--g1,111,106,59.1
warning--junction-with-a-side-road-acute-left--g1,110,110,62.2
warning--road-narrows-left--g2,110,87,60.7
warning--turn-left--g1,110,105,71.6
warning--kangaloo-crossing--g1,108,104,64.9
information--limited-access-road--g1,107,94,51.0
warning--divided-highway-ends--g2,107,94,55.0
complementary--both-directions--g1,107,103,61.3
complementary--maximum-speed-limit-20--g1,106,100,48.2
warning--uneven-road--g6,106,97,64.2
regulatory--no-vehicles-carrying-dangerous-goods--g1,106,94,57.6
warning--double-curve-first-right--g2,105,102,60.5
regulatory--maximum-speed-limit-110--g1,105,76,55.8
warning--roundabout--g25,104,100,67.9
regulatory--reversible-lanes--g2,103,100,76.5
regulatory--priority-over-oncoming-vehicles--g1,102,100,59.4
warning--road-narrows--g1,102,100,65.7
regulatory--maximum-speed-limit-10--g1,101,90,51.7
regulatory--no-parking-or-no-stopping--g1,101,97,93.2
regulatory--mopeds-and-bicycles-only--g1,101,86,51.3
regulatory--turn-left--g3,99,96,59.8
warning--double-curve-first-left--g1,99,95,57.4
regulatory--no-right-turn--g2,99,88,51.5
regulatory--end-of-speed-limit-zone--g1,99,94,94.9
regulatory--no-parking-or-no-stopping--g2,98,94,93.6
complementary--trucks--g1,98,85,73.8
warning--railroad-intersection--g3,98,96,54.3
information--food--g2,95,91,43.0
regulatory--go-straight-or-turn-left--g3,95,88,59.8
information--road-bump--g1,94,85,46.8
regulatory--maximum-speed-limit-5--g1,94,88,51.1
regulatory--lane-control--g1,94,88,68.9
regulatory--maximum-speed-limit-120--g1,94,65,54.1
complementary--chevron-left--g4,94,67,68.5
regulatory--no-parking-or-no-stopping--g3,93,89,76.6
warning--railroad-crossing-with-barriers--g1,91,73,74.1
regulatory--no-turn-on-red--g1,91,79,69.4
regulatory--maximum-speed-limit-45--g3,89,86,36.5
regulatory--radar-enforced--g1,89,86,92.9
regulatory--no-turn-on-red--g2,89,80,71.8
regulatory--maximum-speed-limit-30--g3,88,85,52.1
regulatory--one-way-right--g2,88,80,60.0
