epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2257.09,1.29546,1.41288,0.00103,0.79539,0.7016,0.79079,0.56953,1.10687,0.89049,0.00125,0.00999329,0.0033311,0.00999329,0.0033311,0.00999329,0.0033311,0.00999329,0.0033311
2,4009.11,1.27038,1.01241,0.00103,0.76807,0.67941,0.76014,0.5329,1.17312,0.96652,0.00138,0.0199692,0.00665639,0.0199692,0.00665639,0.0199692,0.00665639,0.0199692,0.00665639
3,5762.7,1.35429,1.07552,0.00114,0.7666,0.6709,0.74908,0.52238,1.21276,1.03506,0.00147,0.0298488,0.0099496,0.0298488,0.0099496,0.0298488,0.0099496,0.0298488,0.0099496
4,7511.11,1.3622,1.04899,0.00116,0.78552,0.6995,0.78487,0.5615,1.16549,0.91309,0.00138,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
5,9258.74,1.33624,0.99517,0.00112,0.78356,0.70484,0.78867,0.56736,1.15173,0.88063,0.00136,0.0294247,0.00980825,0.0294247,0.00980825,0.0294247,0.00980825,0.0294247,0.00980825
6,11007.8,1.31547,0.95388,0.0011,0.80147,0.72935,0.81255,0.58737,1.12397,0.83843,0.00133,0.0291044,0.00970148,0.0291044,0.00970148,0.0291044,0.00970148,0.0291044,0.00970148
7,12758.2,1.29995,0.92494,0.00107,0.81632,0.73156,0.82267,0.60057,1.10094,0.79175,0.00128,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
8,14509.7,1.28907,0.90582,0.00106,0.82367,0.73815,0.82832,0.60652,1.08345,0.78265,0.00126,0.0282618,0.00942059,0.0282618,0.00942059,0.0282618,0.00942059,0.0282618,0.00942059
9,16260.3,1.27505,0.88295,0.00105,0.81699,0.75557,0.83611,0.61435,1.07526,0.74307,0.00124,0.0277435,0.00924784,0.0277435,0.00924784,0.0277435,0.00924784,0.0277435,0.00924784
10,18011,1.26888,0.86746,0.00103,0.8311,0.75158,0.83932,0.6188,1.06372,0.74032,0.00121,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
11,19762.9,1.26337,0.86205,0.00102,0.82743,0.75949,0.84358,0.62557,1.05407,0.72807,0.00119,0.0265258,0.00884192,0.0265258,0.00884192,0.0265258,0.00884192,0.0265258,0.00884192
12,21513.2,1.2493,0.84202,0.00101,0.83842,0.75826,0.84795,0.63105,1.03816,0.71839,0.00117,0.0258322,0.00861073,0.0258322,0.00861073,0.0258322,0.00861073,0.0258322,0.00861073
13,23263.9,1.24903,0.8375,0.00101,0.82916,0.76712,0.85029,0.63425,1.03361,0.70759,0.00117,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
14,25013.3,1.23984,0.81919,0.00099,0.84394,0.76811,0.85547,0.6404,1.02483,0.69407,0.00114,0.0242926,0.00809752,0.0242926,0.00809752,0.0242926,0.00809752,0.0242926,0.00809752
15,26762.5,1.23535,0.81051,0.00099,0.84106,0.77527,0.85858,0.6431,1.02054,0.69307,0.00114,0.023454,0.007818,0.023454,0.007818,0.023454,0.007818,0.023454,0.007818
